"Nr OKW";"Kod TERYT";"Powiat";"Województwo";"Frekwencja";"% głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"% głosów ważnych";"Andrzej Sebastian DUDA";"Rafał Kazimierz TRZASKOWSKI";"Liczba obwodów"
2;"020100";"bolesławiecki";"dolnośląskie";"62,79";"0,76";"55,59";"44,41";"";"99,24";"49,63";"50,37";63
4;"020200";"dzierżoniowski";"dolnośląskie";"62,64";"0,85";"56,90";"43,10";"";"99,15";"50,44";"49,56";83
3;"020300";"głogowski";"dolnośląskie";"66,71";"0,82";"63,64";"36,36";"";"99,18";"51,78";"48,22";53
1;"020400";"górowski";"dolnośląskie";"59,29";"0,87";"49,28";"50,72";"";"99,13";"57,00";"43,00";23
2;"020500";"jaworski";"dolnośląskie";"62,72";"0,97";"56,25";"43,75";"";"99,03";"54,44";"45,56";39
2;"020600";"jeleniogórski";"dolnośląskie";"67,14";"0,80";"59,32";"40,68";"";"99,20";"36,12";"63,88";53
2;"020700";"kamiennogórski";"dolnośląskie";"62,22";"0,80";"55,03";"44,97";"";"99,20";"47,54";"52,46";32
4;"020800";"kłodzki";"dolnośląskie";"62,73";"0,80";"54,40";"45,60";"";"99,20";"46,42";"53,58";137
3;"020900";"legnicki";"dolnośląskie";"65,55";"0,86";"54,24";"45,76";"";"99,14";"56,08";"43,92";45
2;"021000";"lubański";"dolnośląskie";"62,50";"0,91";"48,57";"51,43";"";"99,09";"45,27";"54,73";41
3;"021100";"lubiński";"dolnośląskie";"66,97";"0,78";"57,00";"43,00";"";"99,22";"56,22";"43,78";75
2;"021200";"lwówecki";"dolnośląskie";"59,80";"0,85";"46,45";"53,55";"";"99,15";"48,06";"51,94";39
1;"021300";"milicki";"dolnośląskie";"64,10";"0,68";"55,20";"44,80";"";"99,32";"55,26";"44,74";27
1;"021400";"oleśnicki";"dolnośląskie";"65,25";"0,75";"52,76";"47,24";"";"99,25";"48,17";"51,83";66
1;"021500";"oławski";"dolnośląskie";"69,30";"0,80";"56,07";"43,93";"";"99,20";"49,56";"50,44";51
3;"021600";"polkowicki";"dolnośląskie";"64,82";"0,97";"60,34";"39,66";"";"99,03";"61,73";"38,27";43
1;"021700";"strzeliński";"dolnośląskie";"66,25";"0,71";"55,76";"44,24";"";"99,29";"57,31";"42,69";39
1;"021800";"średzki";"dolnośląskie";"66,66";"0,89";"52,78";"47,22";"";"99,11";"52,37";"47,63";36
4;"021900";"świdnicki";"dolnośląskie";"65,01";"0,80";"53,42";"46,58";"";"99,20";"46,84";"53,16";107
1;"022000";"trzebnicki";"dolnośląskie";"68,63";"0,80";"51,79";"48,21";"";"99,20";"50,39";"49,61";60
4;"022100";"wałbrzyski";"dolnośląskie";"62,22";"0,83";"54,46";"45,54";"";"99,17";"42,08";"57,92";50
1;"022200";"wołowski";"dolnośląskie";"64,25";"0,88";"48,11";"51,89";"";"99,12";"53,80";"46,20";33
1;"022300";"wrocławski";"dolnośląskie";"74,55";"0,99";"61,98";"38,02";"";"99,01";"41,85";"58,15";85
4;"022400";"ząbkowicki";"dolnośląskie";"62,02";"0,74";"55,32";"44,68";"";"99,26";"54,34";"45,66";73
2;"022500";"zgorzelecki";"dolnośląskie";"62,51";"0,86";"56,06";"43,94";"";"99,14";"47,48";"52,52";82
2;"022600";"złotoryjski";"dolnośląskie";"62,83";"0,82";"49,71";"50,29";"";"99,18";"51,34";"48,66";43
2;"026100";"Jelenia Góra";"dolnośląskie";"66,96";"0,76";"65,26";"34,74";"";"99,24";"35,61";"64,39";47
3;"026200";"Legnica";"dolnośląskie";"65,28";"0,75";"56,66";"43,34";"";"99,25";"45,25";"54,75";49
1;"026400";"Wrocław";"dolnośląskie";"73,59";"0,97";"62,71";"37,29";"";"99,03";"33,38";"66,62";312
4;"026500";"Wałbrzych";"dolnośląskie";"61,63";"0,86";"57,81";"42,19";"";"99,14";"39,64";"60,36";61
7;"040100";"aleksandrowski";"kujawsko-pomorskie";"65,81";"0,81";"62,24";"37,76";"";"99,19";"54,62";"45,38";56
6;"040200";"brodnicki";"kujawsko-pomorskie";"63,62";"0,82";"60,32";"39,68";"";"99,18";"56,05";"43,95";59
5;"040300";"bydgoski";"kujawsko-pomorskie";"69,57";"0,79";"59,15";"40,85";"";"99,21";"39,79";"60,21";103
6;"040400";"chełmiński";"kujawsko-pomorskie";"61,24";"0,93";"47,95";"52,05";"";"99,07";"49,97";"50,03";47
6;"040500";"golubsko-dobrzyński";"kujawsko-pomorskie";"62,02";"0,74";"57,14";"42,86";"";"99,26";"59,84";"40,16";32
6;"040600";"grudziądzki";"kujawsko-pomorskie";"59,54";"0,84";"47,71";"52,29";"";"99,16";"57,37";"42,63";42
5;"040700";"inowrocławski";"kujawsko-pomorskie";"63,65";"0,73";"58,35";"41,65";"";"99,27";"46,67";"53,33";141
7;"040800";"lipnowski";"kujawsko-pomorskie";"58,91";"0,79";"53,94";"46,06";"";"99,21";"60,22";"39,78";68
5;"040900";"mogileński";"kujawsko-pomorskie";"62,22";"0,73";"70,73";"29,27";"";"99,27";"53,25";"46,75";41
5;"041000";"nakielski";"kujawsko-pomorskie";"62,86";"0,80";"57,58";"42,42";"";"99,20";"49,31";"50,69";78
7;"041100";"radziejowski";"kujawsko-pomorskie";"63,17";"0,71";"63,33";"36,67";"";"99,29";"64,56";"35,44";51
7;"041200";"rypiński";"kujawsko-pomorskie";"61,64";"0,66";"47,10";"52,90";"";"99,34";"60,06";"39,94";45
5;"041300";"sępoleński";"kujawsko-pomorskie";"61,31";"0,54";"63,46";"36,54";"";"99,46";"52,06";"47,94";42
5;"041400";"świecki";"kujawsko-pomorskie";"61,85";"0,76";"57,06";"42,94";"";"99,24";"50,81";"49,19";91
6;"041500";"toruński";"kujawsko-pomorskie";"66,10";"0,82";"54,94";"45,06";"";"99,18";"47,47";"52,53";70
5;"041600";"tucholski";"kujawsko-pomorskie";"64,93";"0,90";"60,36";"39,64";"";"99,10";"57,17";"42,83";51
6;"041700";"wąbrzeski";"kujawsko-pomorskie";"59,62";"0,79";"57,72";"42,28";"";"99,21";"51,48";"48,52";29
7;"041800";"włocławski";"kujawsko-pomorskie";"62,49";"0,80";"53,16";"46,84";"";"99,20";"58,65";"41,35";80
5;"041900";"żniński";"kujawsko-pomorskie";"63,54";"0,90";"66,02";"33,98";"";"99,10";"51,97";"48,03";77
5;"046100";"Bydgoszcz";"kujawsko-pomorskie";"70,15";"0,82";"63,34";"36,66";"";"99,18";"37,18";"62,82";204
6;"046200";"Grudziądz";"kujawsko-pomorskie";"63,77";"0,79";"60,70";"39,30";"";"99,21";"41,70";"58,30";55
6;"046300";"Toruń";"kujawsko-pomorskie";"70,91";"0,81";"61,78";"38,22";"";"99,19";"36,89";"63,11";123
7;"046400";"Włocławek";"kujawsko-pomorskie";"64,98";"0,75";"53,20";"46,80";"";"99,25";"39,55";"60,45";68
9;"060100";"bialski";"lubelskie";"63,71";"0,96";"52,97";"47,03";"";"99,04";"70,42";"29,58";115
11;"060200";"biłgorajski";"lubelskie";"65,52";"0,86";"48,24";"51,76";"";"99,14";"75,15";"24,85";99
10;"060300";"chełmski";"lubelskie";"58,99";"0,85";"51,59";"48,41";"";"99,15";"72,53";"27,47";90
11;"060400";"hrubieszowski";"lubelskie";"58,60";"0,60";"40,66";"59,34";"";"99,40";"71,58";"28,42";69
8;"060500";"janowski";"lubelskie";"70,96";"0,88";"57,58";"42,42";"";"99,12";"84,21";"15,79";38
10;"060600";"krasnostawski";"lubelskie";"61,30";"0,80";"53,88";"46,12";"";"99,20";"69,41";"30,59";90
8;"060700";"kraśnicki";"lubelskie";"65,50";"1,00";"60,45";"39,55";"";"99,00";"72,69";"27,31";86
8;"060800";"lubartowski";"lubelskie";"67,34";"1,03";"51,44";"48,56";"";"98,97";"72,14";"27,86";91
8;"060900";"lubelski";"lubelskie";"69,19";"1,06";"58,97";"41,03";"";"98,94";"68,25";"31,75";129
8;"061000";"łęczyński";"lubelskie";"66,25";"0,86";"55,56";"44,44";"";"99,14";"70,80";"29,20";53
8;"061100";"łukowski";"lubelskie";"69,99";"0,93";"51,40";"48,60";"";"99,07";"77,44";"22,56";98
8;"061200";"opolski";"lubelskie";"64,29";"0,81";"43,82";"56,18";"";"99,19";"73,26";"26,74";62
9;"061300";"parczewski";"lubelskie";"63,65";"0,78";"56,03";"43,97";"";"99,22";"68,28";"31,72";38
8;"061400";"puławski";"lubelskie";"68,96";"1,03";"56,66";"43,34";"";"98,97";"62,19";"37,81";97
9;"061500";"radzyński";"lubelskie";"64,95";"1,04";"61,44";"38,56";"";"98,96";"74,95";"25,05";55
8;"061600";"rycki";"lubelskie";"69,51";"0,88";"52,77";"47,23";"";"99,12";"69,85";"30,15";69
8;"061700";"świdnicki";"lubelskie";"67,19";"0,90";"55,59";"44,41";"";"99,10";"64,57";"35,43";53
11;"061800";"tomaszowski";"lubelskie";"61,10";"0,84";"57,71";"42,29";"";"99,16";"73,60";"26,40";100
10;"061900";"włodawski";"lubelskie";"64,23";"0,98";"55,12";"44,88";"";"99,02";"60,75";"39,25";47
11;"062000";"zamojski";"lubelskie";"64,33";"0,86";"54,83";"45,17";"";"99,14";"75,09";"24,91";119
9;"066100";"Biała Podlaska";"lubelskie";"66,31";"0,98";"60,21";"39,79";"";"99,02";"56,23";"43,77";29
10;"066200";"Chełm";"lubelskie";"62,99";"0,89";"66,30";"33,70";"";"99,11";"53,29";"46,71";36
8;"066300";"Lublin";"lubelskie";"69,36";"0,94";"61,07";"38,93";"";"99,06";"48,76";"51,24";208
11;"066400";"Zamość";"lubelskie";"64,75";"0,80";"62,65";"37,35";"";"99,20";"56,54";"43,46";35
13;"080100";"gorzowski";"lubuskie";"65,89";"0,87";"50,16";"49,84";"";"99,13";"39,82";"60,18";61
12;"080200";"krośnieński";"lubuskie";"62,20";"0,70";"45,95";"54,05";"";"99,30";"39,54";"60,46";50
13;"080300";"międzyrzecki";"lubuskie";"64,28";"0,80";"51,46";"48,54";"";"99,20";"40,81";"59,19";55
12;"080400";"nowosolski";"lubuskie";"64,21";"0,75";"54,92";"45,08";"";"99,25";"44,42";"55,58";53
13;"080500";"słubicki";"lubuskie";"63,82";"0,70";"46,25";"53,75";"";"99,30";"38,60";"61,40";35
